,Algorithm,Dataset,Number of Clusters,Eps,Min_Sample,Silhouette,Execution Time
892,DBScan,Trip Advisor,10,5.5000000000000036,22,,0.060193700017407537
742,DBScan,Trip Advisor,10,4.900000000000002,22,,0.06019859999651089
860,DBScan,Trip Advisor,10,5.400000000000003,15,,0.060205900052096695
903,DBScan,Trip Advisor,10,5.600000000000003,8,,0.06024249998154119
754,DBScan,Trip Advisor,10,5.000000000000003,9,,0.06028769997647032
630,DBScan,Trip Advisor,10,4.500000000000002,10,,0.06035590003011748
629,DBScan,Trip Advisor,10,4.500000000000002,9,,0.060417699976824224
587,DBScan,Trip Advisor,10,4.3000000000000025,17,,0.06047510000644252
712,DBScan,Trip Advisor,10,4.8000000000000025,17,,0.0604837000137195
730,DBScan,Trip Advisor,10,4.900000000000002,10,,0.06052850000560284
748,DBScan,Trip Advisor,10,4.900000000000002,28,,0.06057669996516779
654,DBScan,Trip Advisor,10,4.600000000000002,9,,0.06062320002820343
878,DBScan,Trip Advisor,10,5.5000000000000036,8,,0.060654399974737316
835,DBScan,Trip Advisor,10,5.3000000000000025,15,,0.06065669999225065
665,DBScan,Trip Advisor,10,4.600000000000002,20,,0.060668099962640554
869,DBScan,Trip Advisor,10,5.400000000000003,24,,0.06069649994606152
989,DBScan,Trip Advisor,10,5.900000000000004,19,,0.06100790004711598
921,DBScan,Trip Advisor,10,5.600000000000003,26,,0.06111749995034188
812,DBScan,Trip Advisor,10,5.200000000000003,17,,0.06113070005085319
870,DBScan,Trip Advisor,10,5.400000000000003,25,,0.06125810003140941
751,DBScan,Trip Advisor,10,5.000000000000003,6,,0.06130729999858886
830,DBScan,Trip Advisor,10,5.3000000000000025,10,,0.06154329999117181
577,DBScan,Trip Advisor,10,4.3000000000000025,7,,0.0616071000113152
680,DBScan,Trip Advisor,10,4.700000000000003,10,,0.06167199998162687
867,DBScan,Trip Advisor,10,5.400000000000003,22,,0.061709399975370616
843,DBScan,Trip Advisor,10,5.3000000000000025,23,,0.06189519999315962
942,DBScan,Trip Advisor,10,5.700000000000003,22,,0.06190299999434501
783,DBScan,Trip Advisor,10,5.100000000000003,13,,0.0621089999913238
655,DBScan,Trip Advisor,10,4.600000000000002,10,,0.062124299991410226
810,DBScan,Trip Advisor,10,5.200000000000003,15,,0.06212650000816211
844,DBScan,Trip Advisor,10,5.3000000000000025,24,,0.06215009995503351
727,DBScan,Trip Advisor,10,4.900000000000002,7,,0.06218910001916811
709,DBScan,Trip Advisor,10,4.8000000000000025,14,,0.06221379997441545
671,DBScan,Trip Advisor,10,4.600000000000002,26,,0.062257800018414855
690,DBScan,Trip Advisor,10,4.700000000000003,20,,0.062343700032215565
792,DBScan,Trip Advisor,10,5.100000000000003,22,,0.06252219999441877
606,DBScan,Trip Advisor,10,4.400000000000002,11,,0.06255820003570989
816,DBScan,Trip Advisor,10,5.200000000000003,21,,0.0625679999939166
725,DBScan,Trip Advisor,10,4.900000000000002,5,,0.06262739998055622
673,DBScan,Trip Advisor,10,4.600000000000002,28,,0.06270389998098835
692,DBScan,Trip Advisor,10,4.700000000000003,22,,0.06273180001880974
826,DBScan,Trip Advisor,10,5.3000000000000025,6,,0.0627496000379324
728,DBScan,Trip Advisor,10,4.900000000000002,8,,0.06275729998014867
852,DBScan,Trip Advisor,10,5.400000000000003,7,,0.06276489997981116
998,DBScan,Trip Advisor,10,5.900000000000004,28,,0.06283190002432093
691,DBScan,Trip Advisor,10,4.700000000000003,21,,0.06285309995291755
616,DBScan,Trip Advisor,10,4.400000000000002,21,,0.06288160005351529
635,DBScan,Trip Advisor,10,4.500000000000002,15,,0.06288710003718734
612,DBScan,Trip Advisor,10,4.400000000000002,17,,0.06316969997715205
873,DBScan,Trip Advisor,10,5.400000000000003,28,,0.06318629998713732
979,DBScan,Trip Advisor,10,5.900000000000004,9,,0.06330189999425784
965,DBScan,Trip Advisor,10,5.800000000000003,20,,0.06330669997259974
853,DBScan,Trip Advisor,10,5.400000000000003,8,,0.0633488999446854
872,DBScan,Trip Advisor,10,5.400000000000003,27,,0.06336390000069514
713,DBScan,Trip Advisor,10,4.8000000000000025,18,,0.06346460001077503
915,DBScan,Trip Advisor,10,5.600000000000003,20,,0.0635304000461474
818,DBScan,Trip Advisor,10,5.200000000000003,23,,0.06356320000486448
896,DBScan,Trip Advisor,10,5.5000000000000036,26,,0.0636219999869354
586,DBScan,Trip Advisor,10,4.3000000000000025,16,,0.063629399985075
591,DBScan,Trip Advisor,10,4.3000000000000025,21,,0.06368820002535358
832,DBScan,Trip Advisor,10,5.3000000000000025,12,,0.06379710003966466
961,DBScan,Trip Advisor,10,5.800000000000003,16,,0.06383589998586103
621,DBScan,Trip Advisor,10,4.400000000000002,26,,0.06391300004906952
