,Algorithm,Dataset,n_clusters,Alpha,Multiplo,Precision,Silhouette,Execution Time
169,IMCKDE,Trip Advisor,9,2.3,0.5,,,
170,IMCKDE,Trip Advisor,10,2.3,0.5,,,
171,IMCKDE,Trip Advisor,2,2.3999999999999995,0.5,,,
172,IMCKDE,Trip Advisor,3,2.3999999999999995,0.5,,,
173,IMCKDE,Trip Advisor,4,2.3999999999999995,0.5,,,
174,IMCKDE,Trip Advisor,5,2.3999999999999995,0.5,,,
175,IMCKDE,Trip Advisor,6,2.3999999999999995,0.5,,,
176,IMCKDE,Trip Advisor,7,2.3999999999999995,0.5,,,
177,IMCKDE,Trip Advisor,8,2.3999999999999995,0.5,,,
178,IMCKDE,Trip Advisor,9,2.3999999999999995,0.5,,,
179,IMCKDE,Trip Advisor,10,2.3999999999999995,0.5,,,
180,IMCKDE,Trip Advisor,2,2.4999999999999996,0.5,,,
181,IMCKDE,Trip Advisor,3,2.4999999999999996,0.5,,,
182,IMCKDE,Trip Advisor,4,2.4999999999999996,0.5,,,
183,IMCKDE,Trip Advisor,5,2.4999999999999996,0.5,,,
184,IMCKDE,Trip Advisor,6,2.4999999999999996,0.5,,,
185,IMCKDE,Trip Advisor,7,2.4999999999999996,0.5,,,
186,IMCKDE,Trip Advisor,8,2.4999999999999996,0.5,,,
187,IMCKDE,Trip Advisor,9,2.4999999999999996,0.5,,,
188,IMCKDE,Trip Advisor,10,2.4999999999999996,0.5,,,
189,IMCKDE,Trip Advisor,2,2.5999999999999996,0.5,,,
190,IMCKDE,Trip Advisor,3,2.5999999999999996,0.5,,,
191,IMCKDE,Trip Advisor,4,2.5999999999999996,0.5,,,
192,IMCKDE,Trip Advisor,5,2.5999999999999996,0.5,,,
193,IMCKDE,Trip Advisor,6,2.5999999999999996,0.5,,,
194,IMCKDE,Trip Advisor,7,2.5999999999999996,0.5,,,
195,IMCKDE,Trip Advisor,8,2.5999999999999996,0.5,,,
196,IMCKDE,Trip Advisor,9,2.5999999999999996,0.5,,,
197,IMCKDE,Trip Advisor,10,2.5999999999999996,0.5,,,
198,IMCKDE,Trip Advisor,2,2.6999999999999993,0.5,,,
199,IMCKDE,Trip Advisor,3,2.6999999999999993,0.5,,,
200,IMCKDE,Trip Advisor,4,2.6999999999999993,0.5,,,
201,IMCKDE,Trip Advisor,5,2.6999999999999993,0.5,,,
202,IMCKDE,Trip Advisor,6,2.6999999999999993,0.5,,,
203,IMCKDE,Trip Advisor,7,2.6999999999999993,0.5,,,
204,IMCKDE,Trip Advisor,8,2.6999999999999993,0.5,,,
205,IMCKDE,Trip Advisor,9,2.6999999999999993,0.5,,,
206,IMCKDE,Trip Advisor,10,2.6999999999999993,0.5,,,
207,IMCKDE,Trip Advisor,2,2.7999999999999994,0.5,,,
208,IMCKDE,Trip Advisor,3,2.7999999999999994,0.5,,,
209,IMCKDE,Trip Advisor,4,2.7999999999999994,0.5,,,
210,IMCKDE,Trip Advisor,5,2.7999999999999994,0.5,,,
211,IMCKDE,Trip Advisor,6,2.7999999999999994,0.5,,,
212,IMCKDE,Trip Advisor,7,2.7999999999999994,0.5,,,
213,IMCKDE,Trip Advisor,8,2.7999999999999994,0.5,,,
214,IMCKDE,Trip Advisor,9,2.7999999999999994,0.5,,,
215,IMCKDE,Trip Advisor,10,2.7999999999999994,0.5,,,
216,IMCKDE,Trip Advisor,2,2.8999999999999995,0.5,,,
217,IMCKDE,Trip Advisor,3,2.8999999999999995,0.5,,,
218,IMCKDE,Trip Advisor,4,2.8999999999999995,0.5,,,
219,IMCKDE,Trip Advisor,5,2.8999999999999995,0.5,,,
220,IMCKDE,Trip Advisor,6,2.8999999999999995,0.5,,,
221,IMCKDE,Trip Advisor,7,2.8999999999999995,0.5,,,
222,IMCKDE,Trip Advisor,8,2.8999999999999995,0.5,,,
223,IMCKDE,Trip Advisor,9,2.8999999999999995,0.5,,,
224,IMCKDE,Trip Advisor,10,2.8999999999999995,0.5,,,
225,IMCKDE,Trip Advisor,2,2.9999999999999996,0.5,,,
226,IMCKDE,Trip Advisor,3,2.9999999999999996,0.5,,,
227,IMCKDE,Trip Advisor,4,2.9999999999999996,0.5,,,
228,IMCKDE,Trip Advisor,5,2.9999999999999996,0.5,,,
229,IMCKDE,Trip Advisor,6,2.9999999999999996,0.5,,,
230,IMCKDE,Trip Advisor,7,2.9999999999999996,0.5,,,
231,IMCKDE,Trip Advisor,8,2.9999999999999996,0.5,,,
232,IMCKDE,Trip Advisor,9,2.9999999999999996,0.5,,,
233,IMCKDE,Trip Advisor,10,2.9999999999999996,0.5,,,
234,IMCKDE,Trip Advisor,2,3.0999999999999996,0.5,,,
235,IMCKDE,Trip Advisor,3,3.0999999999999996,0.5,,,
236,IMCKDE,Trip Advisor,4,3.0999999999999996,0.5,,,
237,IMCKDE,Trip Advisor,5,3.0999999999999996,0.5,,,
238,IMCKDE,Trip Advisor,6,3.0999999999999996,0.5,,,
239,IMCKDE,Trip Advisor,7,3.0999999999999996,0.5,,,
240,IMCKDE,Trip Advisor,8,3.0999999999999996,0.5,,,
241,IMCKDE,Trip Advisor,9,3.0999999999999996,0.5,,,
242,IMCKDE,Trip Advisor,10,3.0999999999999996,0.5,,,
243,IMCKDE,Trip Advisor,2,3.1999999999999993,0.5,,,
244,IMCKDE,Trip Advisor,3,3.1999999999999993,0.5,,,
245,IMCKDE,Trip Advisor,4,3.1999999999999993,0.5,,,
246,IMCKDE,Trip Advisor,5,3.1999999999999993,0.5,,,
247,IMCKDE,Trip Advisor,6,3.1999999999999993,0.5,,,
248,IMCKDE,Trip Advisor,7,3.1999999999999993,0.5,,,
249,IMCKDE,Trip Advisor,8,3.1999999999999993,0.5,,,
250,IMCKDE,Trip Advisor,9,3.1999999999999993,0.5,,,
251,IMCKDE,Trip Advisor,10,3.1999999999999993,0.5,,,
252,IMCKDE,Trip Advisor,2,3.2999999999999994,0.5,,,
253,IMCKDE,Trip Advisor,3,3.2999999999999994,0.5,,,
254,IMCKDE,Trip Advisor,4,3.2999999999999994,0.5,,,
255,IMCKDE,Trip Advisor,5,3.2999999999999994,0.5,,,
256,IMCKDE,Trip Advisor,6,3.2999999999999994,0.5,,,
257,IMCKDE,Trip Advisor,7,3.2999999999999994,0.5,,,
258,IMCKDE,Trip Advisor,8,3.2999999999999994,0.5,,,
259,IMCKDE,Trip Advisor,9,3.2999999999999994,0.5,,,
260,IMCKDE,Trip Advisor,10,3.2999999999999994,0.5,,,
261,IMCKDE,Trip Advisor,2,3.3999999999999995,0.5,,,
262,IMCKDE,Trip Advisor,3,3.3999999999999995,0.5,,,
263,IMCKDE,Trip Advisor,4,3.3999999999999995,0.5,,,
264,IMCKDE,Trip Advisor,5,3.3999999999999995,0.5,,,
265,IMCKDE,Trip Advisor,6,3.3999999999999995,0.5,,,
266,IMCKDE,Trip Advisor,7,3.3999999999999995,0.5,,,
267,IMCKDE,Trip Advisor,8,3.3999999999999995,0.5,,,
268,IMCKDE,Trip Advisor,9,3.3999999999999995,0.5,,,
269,IMCKDE,Trip Advisor,10,3.3999999999999995,0.5,,,
270,IMCKDE,Trip Advisor,2,3.499999999999999,0.5,,,
271,IMCKDE,Trip Advisor,3,3.499999999999999,0.5,,,
272,IMCKDE,Trip Advisor,4,3.499999999999999,0.5,,,
273,IMCKDE,Trip Advisor,5,3.499999999999999,0.5,,,
274,IMCKDE,Trip Advisor,6,3.499999999999999,0.5,,,
275,IMCKDE,Trip Advisor,7,3.499999999999999,0.5,,,
276,IMCKDE,Trip Advisor,8,3.499999999999999,0.5,,,
277,IMCKDE,Trip Advisor,9,3.499999999999999,0.5,,,
278,IMCKDE,Trip Advisor,10,3.499999999999999,0.5,,,
279,IMCKDE,Trip Advisor,2,3.599999999999999,0.5,,,
280,IMCKDE,Trip Advisor,3,3.599999999999999,0.5,,,
281,IMCKDE,Trip Advisor,4,3.599999999999999,0.5,,,
282,IMCKDE,Trip Advisor,5,3.599999999999999,0.5,,,
283,IMCKDE,Trip Advisor,6,3.599999999999999,0.5,,,
284,IMCKDE,Trip Advisor,7,3.599999999999999,0.5,,,
285,IMCKDE,Trip Advisor,8,3.599999999999999,0.5,,,
286,IMCKDE,Trip Advisor,9,3.599999999999999,0.5,,,
287,IMCKDE,Trip Advisor,10,3.599999999999999,0.5,,,
288,IMCKDE,Trip Advisor,2,3.6999999999999993,0.5,,,
289,IMCKDE,Trip Advisor,3,3.6999999999999993,0.5,,,
290,IMCKDE,Trip Advisor,4,3.6999999999999993,0.5,,,
291,IMCKDE,Trip Advisor,5,3.6999999999999993,0.5,,,
292,IMCKDE,Trip Advisor,6,3.6999999999999993,0.5,,,
293,IMCKDE,Trip Advisor,7,3.6999999999999993,0.5,,,
294,IMCKDE,Trip Advisor,8,3.6999999999999993,0.5,,,
295,IMCKDE,Trip Advisor,9,3.6999999999999993,0.5,,,
296,IMCKDE,Trip Advisor,10,3.6999999999999993,0.5,,,
297,IMCKDE,Trip Advisor,2,3.7999999999999994,0.5,,,
298,IMCKDE,Trip Advisor,3,3.7999999999999994,0.5,,,
299,IMCKDE,Trip Advisor,4,3.7999999999999994,0.5,,,
300,IMCKDE,Trip Advisor,5,3.7999999999999994,0.5,,,
301,IMCKDE,Trip Advisor,6,3.7999999999999994,0.5,,,
302,IMCKDE,Trip Advisor,7,3.7999999999999994,0.5,,,
303,IMCKDE,Trip Advisor,8,3.7999999999999994,0.5,,,
304,IMCKDE,Trip Advisor,9,3.7999999999999994,0.5,,,
305,IMCKDE,Trip Advisor,10,3.7999999999999994,0.5,,,
306,IMCKDE,Trip Advisor,2,3.8999999999999995,0.5,,,
307,IMCKDE,Trip Advisor,3,3.8999999999999995,0.5,,,
308,IMCKDE,Trip Advisor,4,3.8999999999999995,0.5,,,
309,IMCKDE,Trip Advisor,5,3.8999999999999995,0.5,,,
310,IMCKDE,Trip Advisor,6,3.8999999999999995,0.5,,,
