,Algorithm,Dataset,n_clusters,Alpha,Multiplo,Precision,Silhouette,Execution Time
5542,IMCKDE,Trip Advisor,9,5.999999999999999,4.5,,0.4219196226548066,1.1384365999838337
5532,IMCKDE,Trip Advisor,8,5.899999999999999,4.5,,0.4219196226548066,1.1450152000179514
5537,IMCKDE,Trip Advisor,4,5.999999999999999,4.5,,0.4219196226548066,1.190501100034453
5543,IMCKDE,Trip Advisor,10,5.999999999999999,4.5,,0.4219196226548066,1.1973769000032917
5536,IMCKDE,Trip Advisor,3,5.999999999999999,4.5,,0.4219196226548066,1.268215199932456
5527,IMCKDE,Trip Advisor,3,5.899999999999999,4.5,,0.4219196226548066,1.2775943001033738
5535,IMCKDE,Trip Advisor,2,5.999999999999999,4.5,,0.4219196226548066,1.2836065998999402
5538,IMCKDE,Trip Advisor,5,5.999999999999999,4.5,,0.4219196226548066,1.2884125999407843
5530,IMCKDE,Trip Advisor,6,5.899999999999999,4.5,,0.4219196226548066,1.2931019999086857
5534,IMCKDE,Trip Advisor,10,5.899999999999999,4.5,,0.4219196226548066,1.2998538999818265
5529,IMCKDE,Trip Advisor,5,5.899999999999999,4.5,,0.4219196226548066,1.313550499966368
5540,IMCKDE,Trip Advisor,7,5.999999999999999,4.5,,0.4219196226548066,1.3664765000576153
5541,IMCKDE,Trip Advisor,8,5.999999999999999,4.5,,0.4219196226548066,1.4326818999834359
5526,IMCKDE,Trip Advisor,2,5.899999999999999,4.5,,0.4219196226548066,1.444953899946995
5531,IMCKDE,Trip Advisor,7,5.899999999999999,4.5,,0.4219196226548066,1.452582799945958
3024,IMCKDE,Trip Advisor,2,6.099999999999999,2.5,,0.3038971123257771,1.9956518999533728
3015,IMCKDE,Trip Advisor,2,5.999999999999999,2.5,,0.3038178779631611,4.2623004000633955
2511,IMCKDE,Trip Advisor,2,7.399999999999999,2.0,,0.3036997548577703,2.4968662000028417
2502,IMCKDE,Trip Advisor,2,7.299999999999999,2.0,,0.3036997548577703,2.554886700003408
2493,IMCKDE,Trip Advisor,2,7.199999999999998,2.0,,0.3036073129637606,2.654944800073281
2457,IMCKDE,Trip Advisor,2,6.799999999999999,2.0,,0.3034888687599477,2.4935486000031233
2988,IMCKDE,Trip Advisor,2,5.699999999999999,2.5,,0.303462514930044,1.678817700012587
3006,IMCKDE,Trip Advisor,2,5.899999999999999,2.5,,0.303462514930044,1.8026557000121102
2997,IMCKDE,Trip Advisor,2,5.799999999999999,2.5,,0.303462514930044,1.844199699931778
2448,IMCKDE,Trip Advisor,2,6.699999999999998,2.0,,0.30340660883724485,2.542592199984938
2430,IMCKDE,Trip Advisor,2,6.499999999999998,2.0,,0.30331528168834715,3.0769986000377685
2952,IMCKDE,Trip Advisor,2,5.299999999999999,2.5,,0.30330405574476915,2.1965668000048026
2466,IMCKDE,Trip Advisor,2,6.899999999999999,2.0,,0.30330405574476915,2.8468098000157624
2439,IMCKDE,Trip Advisor,2,6.599999999999999,2.0,,0.3033031148111421,2.4053847999311984
2979,IMCKDE,Trip Advisor,2,5.599999999999999,2.5,,0.3032785895134006,2.2546351000200957
2484,IMCKDE,Trip Advisor,2,7.099999999999999,2.0,,0.30322013546657756,2.470798599999398
2475,IMCKDE,Trip Advisor,2,6.999999999999998,2.0,,0.30322013546657756,2.5241258000023663
2970,IMCKDE,Trip Advisor,2,5.499999999999999,2.5,,0.30319240029834477,1.9813950000097975
2961,IMCKDE,Trip Advisor,2,5.399999999999999,2.5,,0.30319240029834477,2.3806251999922097
3537,IMCKDE,Trip Advisor,2,4.799999999999999,3.0,,0.30317681187859985,2.2953864000737667
3033,IMCKDE,Trip Advisor,2,6.199999999999998,2.5,,0.302896044321672,2.369964100071229
5256,IMCKDE,Trip Advisor,2,2.8999999999999995,4.5,,0.3028298255772877,2.177548300009221
5265,IMCKDE,Trip Advisor,2,2.9999999999999996,4.5,,0.3028298255772877,2.2982475000899285
4635,IMCKDE,Trip Advisor,2,2.9999999999999996,4.0,,0.3028298255772877,3.3162911999970675
3042,IMCKDE,Trip Advisor,2,6.299999999999999,2.5,,0.3027399753433212,1.7925127999624237
2943,IMCKDE,Trip Advisor,2,5.199999999999999,2.5,,0.30256160004025034,3.1322292999830097
2421,IMCKDE,Trip Advisor,2,6.399999999999999,2.0,,0.3024439375064029,2.4657489000819623
2934,IMCKDE,Trip Advisor,2,5.099999999999999,2.5,,0.3024439375064029,2.8728354000486434
3051,IMCKDE,Trip Advisor,2,6.399999999999999,2.5,,0.30227823188316966,1.9097871000412852
2412,IMCKDE,Trip Advisor,2,6.299999999999999,2.0,,0.30226197813880373,2.8602192999096587
2925,IMCKDE,Trip Advisor,2,4.999999999999999,2.5,,0.30217009932236766,2.8095560999354348
2916,IMCKDE,Trip Advisor,2,4.899999999999999,2.5,,0.30217009932236766,5.605408899951726
2367,IMCKDE,Trip Advisor,2,5.799999999999999,2.0,,0.30212951218994616,3.8964281999506056
2358,IMCKDE,Trip Advisor,2,5.699999999999999,2.0,,0.3019283898313382,3.038334999931976
3078,IMCKDE,Trip Advisor,2,6.699999999999998,2.5,,0.30179720562038886,1.2388585000298917
2403,IMCKDE,Trip Advisor,2,6.199999999999998,2.0,,0.301749742978712,3.0256881000241265
2394,IMCKDE,Trip Advisor,2,6.099999999999999,2.0,,0.3017049062941108,2.8758962000720203
3555,IMCKDE,Trip Advisor,2,4.999999999999999,3.0,,0.3016945691904422,1.9814704000018537
2385,IMCKDE,Trip Advisor,2,5.999999999999999,2.0,,0.30168539609919987,4.680920799961314
2349,IMCKDE,Trip Advisor,2,5.599999999999999,2.0,,0.3015873467753592,3.5250651000533253
2907,IMCKDE,Trip Advisor,2,4.799999999999999,2.5,,0.3015300966220145,3.5620385999791324
2376,IMCKDE,Trip Advisor,2,5.899999999999999,2.0,,0.3013284542260379,4.862340499996208
3366,IMCKDE,Trip Advisor,2,2.8999999999999995,3.0,,0.3010605250294152,1.9264349999139085
3996,IMCKDE,Trip Advisor,2,2.8999999999999995,3.5,,0.3010193056553898,1.7878491999581456
4014,IMCKDE,Trip Advisor,2,3.0999999999999996,3.5,,0.3008595870688384,2.5230483000632375
4644,IMCKDE,Trip Advisor,2,3.0999999999999996,4.0,,0.3008595870688384,4.0917218999238685
3546,IMCKDE,Trip Advisor,2,4.899999999999999,3.0,,0.3007806165010699,2.30158400000073
3060,IMCKDE,Trip Advisor,2,6.499999999999998,2.5,,0.30060252745023297,2.0928213000297546
4023,IMCKDE,Trip Advisor,2,3.1999999999999993,3.5,,0.30057436738237,2.6327111999271438
3114,IMCKDE,Trip Advisor,2,7.099999999999999,2.5,,0.3005528057134847,1.744214899954386
5247,IMCKDE,Trip Advisor,2,2.7999999999999994,4.5,,0.300537838756259,2.177716700010933
4626,IMCKDE,Trip Advisor,2,2.8999999999999995,4.0,,0.300537838756259,2.425529300002381
3069,IMCKDE,Trip Advisor,2,6.599999999999999,2.5,,0.30040876465477895,1.574078100034967
